id,fecha,tipo_proceso,canal,tiempo_ciclo,costo,errores,prioridad,responsable,etiqueta_clase
PROC00184,2024-01-05 01:35:00,Inventario,API,6.0,113.57,0,Media,Pedro,Manual
PROC00185,2024-01-06 03:12:00,Logística,Manual,19.4,82.31,1,Baja,Carlos,Manual
PROC00186,2024-01-05 12:48:00,Facturación,Web,31.8,47.83,0,Urgente,Juan,Manual
PROC00187,2024-01-04 15:29:00,Pagos,Web,4.7,127.22,0,Alta,Pedro,Manual
PROC00188,2024-01-04 14:12:00,Inventario,Manual,6.1,27.53,0,Baja,Ana,Manual
PROC00189,2024-01-02 04:27:00,Logística,Web,6.9,47.47,1,Media,Sofia,Manual
PROC00190,2024-01-05 00:31:00,Logística,API,8.2,90.01,0,Baja,Pedro,Manual
PROC00191,2024-01-07 21:25:00,Facturación,Web,7.7,242.27,1,Urgente,Juan,Manual
PROC00192,2024-01-04 20:15:00,Soporte,Web,15.1,227.42,1,Media,María,Manual
PROC00193,2024-01-04 10:11:00,Facturación,Manual,31.8,114.85,2,Baja,María,Manual
PROC00194,2024-01-03 10:30:00,Logística,API,17.3,65.84,0,Baja,Pedro,Manual
PROC00195,2024-01-01 03:22:00,Soporte,API,44.9,9.59,0,Urgente,Pedro,Manual
PROC00196,2024-01-03 22:18:00,Facturación,Web,38.1,159.53,0,Media,Carlos,Manual
PROC00197,2024-01-07 05:18:00,Inventario,Manual,4.1,175.88,0,Media,Ana,Manual
PROC00198,2024-01-04 01:09:00,Facturación,API,1.5,113.66,0,Media,Carlos,Manual
PROC00199,2024-01-02 14:47:00,Pagos,API,63.1,68.29,0,Baja,Sofia,Manual
PROC00200,2024-01-06 13:24:00,Pagos,Manual,2.5,149.69,0,Baja,Carlos,Manual
PROC00201,2024-01-03 00:51:00,Inventario,Web,4.8,80.49,0,Media,María,Manual
PROC00202,2024-01-06 09:37:00,Soporte,Email,0.7,73.1,0,Media,María,Manual
PROC00203,2024-01-01 03:17:00,Inventario,API,29.7,18.02,0,Baja,Juan,Manual
PROC00204,2024-01-05 22:45:00,Pagos,API,26.2,144.14,1,Media,Sofia,Manual
PROC00205,2024-01-02 08:10:00,Logística,Web,130.1,92.58,2,Baja,Sofia,Manual
PROC00206,2024-01-05 08:47:00,Soporte,Email,65.4,226.62,1,Alta,Carlos,Manual
PROC00207,2024-01-07 02:40:00,Facturación,Manual,15.9,50.79,0,Baja,Juan,Manual
PROC00208,2024-01-07 11:39:00,Soporte,Web,13.9,38.47,1,Baja,Pedro,Manual
PROC00209,2024-01-03 23:22:00,Facturación,Web,10.6,174.65,0,Baja,Juan,Manual
PROC00210,2024-01-02 17:51:00,Logística,Manual,5.0,201.22,0,Baja,María,Manual
PROC00211,2024-01-07 22:26:00,Facturación,Manual,4.5,84.41,0,Baja,Carlos,Manual
PROC00212,2024-01-01 10:59:00,Facturación,Manual,4.3,154.41,1,Media,María,Manual
PROC00213,2024-01-02 22:51:00,Pagos,API,3.6,64.44,0,Media,Pedro,Manual
PROC00214,2024-01-05 22:18:00,Inventario,Manual,8.3,67.31,0,Baja,Ana,Manual
PROC00215,2024-01-05 13:06:00,Pagos,API,11.0,114.11,1,Media,Sofia,Manual
PROC00216,2024-01-07 15:21:00,Facturación,Web,97.8,66.61,0,Alta,Carlos,Manual
PROC00217,2024-01-02 09:06:00,Inventario,API,25.9,101.72,1,Baja,María,Manual
PROC00218,2024-01-06 18:58:00,Soporte,Sistema,131.7,90.75,1,Alta,Ana,Manual
PROC00219,2024-01-03 00:31:00,Pagos,Web,14.0,30.65,1,Baja,Pedro,Manual
PROC00220,2024-01-02 04:54:00,Facturación,API,18.4,101.32,0,Baja,Ana,Manual
PROC00221,2024-01-02 06:43:00,Pagos,Manual,11.8,31.58,0,Media,María,Manual
PROC00222,2024-01-07 00:40:00,Facturación,API,6.1,145.9,0,Baja,María,Manual
PROC00223,2024-01-03 01:36:00,Logística,Manual,4.6,176.74,0,Alta,Pedro,Manual
PROC00224,2024-01-02 08:39:00,Logística,Manual,87.1,73.68,0,Baja,Pedro,Manual
PROC00225,2024-01-04 23:59:00,Inventario,Web,129.9,243.34,0,Media,Ana,Manual
PROC00226,2024-01-05 15:34:00,Pagos,Sistema,1.4,198.69,1,Media,Ana,Manual
PROC00227,2024-01-02 15:45:00,Logística,Manual,4.9,102.56,4,Baja,Sofia,Revisión
PROC00228,2024-01-04 06:56:00,Inventario,Email,16.5,67.67,1,Media,Sofia,Manual
PROC00229,2024-01-02 06:02:00,Logística,Manual,6.2,166.27,0,Media,María,Manual
PROC00230,2024-01-06 15:55:00,Inventario,Email,13.6,246.4,1,Media,Pedro,Manual
PROC00231,2024-01-06 15:20:00,Logística,Web,4.1,108.66,0,Alta,Juan,Manual
PROC00232,2024-01-05 14:16:00,Inventario,Web,18.3,56.18,1,Baja,Pedro,Manual
PROC00233,2024-01-04 20:14:00,Pagos,Email,9.5,136.0,1,Media,Carlos,Manual
PROC00234,2024-01-03 19:41:00,Soporte,Web,13.0,83.78,1,Baja,Carlos,Manual
PROC00235,2024-01-01 04:22:00,Pagos,Web,3.0,36.81,1,Baja,Pedro,Manual
PROC00236,2024-01-05 08:47:00,Inventario,Manual,16.8,60.59,1,Baja,Ana,Manual
PROC00237,2024-01-07 02:55:00,Facturación,Manual,122.7,176.14,0,Urgente,Carlos,Manual
PROC00238,2024-01-07 09:28:00,Inventario,Web,12.0,76.85,0,Media,Sofia,Manual
PROC00239,2024-01-02 10:09:00,Inventario,Email,62.7,54.12,0,Baja,María,Manual
PROC00240,2024-01-04 18:23:00,Facturación,Manual,55.6,205.36,1,Baja,María,Manual
PROC00241,2024-01-04 03:48:00,Facturación,API,91.1,172.55,0,Baja,María,Manual
PROC00242,2024-01-03 03:48:00,Inventario,Manual,46.8,62.63,0,Baja,Sofia,Manual
PROC00243,2024-01-05 23:18:00,Logística,API,32.3,282.82,1,Baja,Pedro,Manual
PROC00244,2024-01-06 03:20:00,Pagos,Web,58.3,79.8,0,Baja,Carlos,Manual
PROC00245,2024-01-03 04:50:00,Facturación,Web,2.4,109.04,1,Baja,Ana,Manual
PROC00246,2024-01-07 20:34:00,Inventario,API,18.6,89.88,2,Media,Sofia,Manual
PROC00247,2024-01-02 13:35:00,Facturación,API,136.0,42.13,2,Alta,Sofia,Manual
PROC00248,2024-01-01 19:14:00,Pagos,Manual,44.0,75.0,0,Media,María,Manual
PROC00249,2024-01-04 02:59:00,Facturación,Manual,98.2,82.75,1,Alta,Sofia,Manual
PROC00250,2024-01-05 08:55:00,Facturación,API,45.4,13.58,1,Baja,Sofia,Manual
PROC00251,2024-01-05 07:17:00,Facturación,Manual,62.4,105.07,0,Alta,Ana,Manual
PROC00252,2024-01-07 20:48:00,Pagos,Web,36.8,157.86,0,Baja,Sofia,Manual
PROC00253,2024-01-02 03:28:00,Facturación,Web,42.9,31.95,0,Alta,María,Manual
PROC00254,2024-01-04 20:19:00,Pagos,Email,22.2,138.66,1,Alta,Sofia,Manual
PROC00255,2024-01-07 16:37:00,Pagos,Web,77.4,182.41,1,Alta,Pedro,Manual
PROC00256,2024-01-03 21:59:00,Pagos,Web,52.3,75.93,2,Alta,María,Manual
PROC00257,2024-01-06 20:45:00,Pagos,Manual,55.7,279.56,1,Media,Pedro,Manual
PROC00258,2024-01-02 18:37:00,Logística,API,33.5,103.19,0,Baja,Carlos,Manual
PROC00259,2024-01-04 21:12:00,Facturación,Email,10.9,12.86,0,Media,Carlos,Manual
PROC00260,2024-01-01 01:38:00,Pagos,Web,1.1,26.51,0,Media,Ana,Automático
PROC00261,2024-01-02 12:40:00,Facturación,Web,82.3,106.68,0,Baja,Sofia,Manual
PROC00262,2024-01-03 01:21:00,Facturación,Web,26.5,133.56,0,Media,María,Manual
PROC00263,2024-01-04 10:53:00,Inventario,API,10.6,88.48,1,Media,Carlos,Manual
PROC00264,2024-01-04 01:53:00,Inventario,API,4.8,102.07,0,Baja,Sofia,Manual
PROC00265,2024-01-02 23:49:00,Logística,API,53.1,90.47,1,Media,Juan,Manual
PROC00266,2024-01-01 15:56:00,Inventario,Email,54.3,49.9,1,Media,Juan,Manual
PROC00267,2024-01-06 19:12:00,Soporte,Email,50.5,90.67,0,Baja,Ana,Manual
PROC00268,2024-01-04 22:59:00,Facturación,Web,31.1,19.71,0,Media,Sofia,Manual
PROC00269,2024-01-05 19:44:00,Facturación,API,13.7,65.05,1,Urgente,Carlos,Manual
PROC00270,2024-01-04 02:53:00,Facturación,API,10.9,127.06,0,Alta,Pedro,Manual
PROC00271,2024-01-07 14:12:00,Facturación,Email,0.3,39.88,2,Media,Sofia,Manual
PROC00272,2024-01-04 09:51:00,Pagos,Sistema,53.8,69.78,1,Baja,Juan,Manual
PROC00273,2024-01-03 18:27:00,Inventario,Web,2.7,95.47,0,Baja,Sofia,Manual
PROC00274,2024-01-07 17:59:00,Facturación,Manual,29.9,268.72,0,Baja,Carlos,Manual
PROC00275,2024-01-05 04:15:00,Soporte,API,21.0,171.78,0,Baja,Pedro,Manual
PROC00276,2024-01-01 20:18:00,Logística,Web,22.4,18.94,0,Alta,María,Manual
PROC00277,2024-01-04 02:56:00,Facturación,Web,78.4,312.28,0,Urgente,Sofia,Manual
PROC00278,2024-01-04 06:55:00,Facturación,API,1.0,215.08,0,Alta,Carlos,Manual
PROC00279,2024-01-04 03:55:00,Facturación,API,44.5,100.14,0,Baja,María,Manual
PROC00280,2024-01-07 08:26:00,Facturación,Web,1.6,152.41,0,Baja,Juan,Manual
PROC00281,2024-01-06 14:10:00,Facturación,Manual,1.2,45.07,2,Media,María,Manual
PROC00282,2024-01-03 09:26:00,Pagos,Web,16.9,83.04,1,Media,Juan,Manual
PROC00283,2024-01-01 17:25:00,Facturación,API,2.0,42.72,0,Media,Ana,Automático
PROC00284,2024-01-05 18:53:00,Pagos,Web,46.7,132.58,0,Media,Ana,Manual
PROC00285,2024-01-02 04:13:00,Soporte,Web,22.6,376.03,0,Media,Juan,Manual
