id,clasificacion,puntuacion,razon_principal
PROC00093,Manual,0,Proceso estándar
PROC00094,Manual,0,Proceso estándar
PROC00095,Manual,0,Proceso estándar
PROC00096,Manual,0,Proceso estándar
PROC00097,Manual,1,Prioridad Urgente
PROC00098,Manual,0,Proceso estándar
PROC00099,Revisión,2,Múltiples errores (2)
PROC00100,Manual,0,Proceso estándar
PROC00101,Manual,0,Proceso estándar
PROC00102,Manual,0,Proceso estándar
PROC00103,Manual,0,Proceso estándar
PROC00104,Manual,0,Proceso estándar
PROC00105,Manual,1,Prioridad Urgente
PROC00106,Manual,0,Proceso estándar
PROC00107,Manual,0,Proceso estándar
PROC00108,Revisión,3,Múltiples errores (2)
PROC00109,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00110,Manual,0,Proceso estándar
PROC00111,Manual,0,Proceso estándar
PROC00112,Manual,0,Proceso estándar
PROC00113,Manual,0,Proceso estándar
PROC00114,Manual,0,Proceso estándar
PROC00115,Manual,0,Proceso estándar
PROC00116,Manual,0,Proceso estándar
PROC00117,Manual,0,Proceso estándar
PROC00118,Manual,0,Proceso estándar
PROC00119,Manual,0,Proceso estándar
PROC00120,Revisión,2,Múltiples errores (2)
PROC00121,Manual,1,Prioridad Urgente
PROC00122,Manual,0,Proceso estándar
PROC00123,Revisión,2,Múltiples errores (2)
PROC00124,Manual,0,Proceso estándar
PROC00125,Manual,0,Proceso estándar
PROC00126,Manual,0,Proceso estándar
PROC00127,Manual,0,Proceso estándar
PROC00128,Manual,0,Proceso estándar
PROC00129,Manual,0,Proceso estándar
PROC00130,Manual,0,Proceso estándar
PROC00131,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00132,Manual,0,Proceso estándar
PROC00133,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00134,Manual,0,Proceso estándar
PROC00135,Manual,0,Proceso estándar
PROC00136,Manual,0,Proceso estándar
PROC00137,Manual,0,Proceso estándar
PROC00138,Manual,0,Proceso estándar
PROC00139,Manual,1,Prioridad Urgente
PROC00140,Manual,0,Proceso estándar
PROC00141,Manual,0,Proceso estándar
PROC00142,Manual,0,Proceso estándar
PROC00143,Manual,0,Proceso estándar
PROC00144,Manual,0,Proceso estándar
PROC00145,Manual,0,Proceso estándar
PROC00146,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00147,Manual,0,Proceso estándar
PROC00148,Manual,0,Proceso estándar
PROC00149,Manual,0,Proceso estándar
PROC00150,Manual,0,Proceso estándar
PROC00151,Manual,0,Proceso estándar
PROC00152,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00153,Manual,0,Proceso estándar
PROC00154,Manual,0,Proceso estándar
PROC00155,Revisión,2,Múltiples errores (2)
PROC00156,Manual,0,Proceso estándar
PROC00157,Manual,0,Proceso estándar
PROC00158,Manual,0,Proceso estándar
PROC00159,Manual,0,Proceso estándar
PROC00160,Revisión,2,Múltiples errores (2)
PROC00161,Manual,0,Proceso estándar
PROC00162,Manual,0,Proceso estándar
PROC00163,Manual,0,Proceso estándar
PROC00164,Manual,0,Proceso estándar
PROC00165,Manual,0,Proceso estándar
PROC00166,Manual,0,Proceso estándar
PROC00167,Manual,0,Proceso estándar
PROC00168,Revisión,2,Múltiples errores (2)
PROC00169,Manual,0,Proceso estándar
PROC00170,Revisión,2,Múltiples errores (3)
PROC00171,Manual,0,Proceso estándar
PROC00172,Manual,0,Proceso estándar
PROC00173,Manual,0,Proceso estándar
PROC00174,Manual,0,Proceso estándar
PROC00175,Manual,0,Proceso estándar
PROC00176,Manual,0,Proceso estándar
PROC00177,Manual,0,Proceso estándar
PROC00178,Manual,0,Proceso estándar
PROC00179,Manual,0,Proceso estándar
PROC00180,Manual,1,Prioridad Urgente
PROC00181,Revisión,2,Múltiples errores (2)
PROC00182,Manual,1,Prioridad Urgente
PROC00183,Manual,0,Proceso estándar
PROC00184,Manual,0,Proceso estándar
PROC00185,Manual,0,Proceso estándar
PROC00186,Manual,1,Prioridad Urgente
PROC00187,Manual,0,Proceso estándar
PROC00188,Manual,0,Proceso estándar
PROC00189,Manual,0,Proceso estándar
PROC00190,Manual,0,Proceso estándar
PROC00191,Manual,1,Prioridad Urgente
PROC00192,Manual,0,Proceso estándar
PROC00193,Revisión,2,Múltiples errores (2)
PROC00194,Manual,0,Proceso estándar
PROC00195,Manual,1,Prioridad Urgente
PROC00196,Manual,0,Proceso estándar
PROC00197,Manual,0,Proceso estándar
PROC00198,Manual,0,Proceso estándar
PROC00199,Manual,0,Proceso estándar
PROC00200,Manual,0,Proceso estándar
PROC00201,Manual,0,Proceso estándar
PROC00202,Manual,0,Proceso estándar
PROC00203,Manual,0,Proceso estándar
PROC00204,Manual,0,Proceso estándar
PROC00205,Revisión,2,Múltiples errores (2)
PROC00206,Manual,0,Proceso estándar
PROC00207,Manual,0,Proceso estándar
PROC00208,Manual,0,Proceso estándar
PROC00209,Manual,0,Proceso estándar
PROC00210,Manual,0,Proceso estándar
PROC00211,Manual,0,Proceso estándar
PROC00212,Manual,0,Proceso estándar
PROC00213,Manual,0,Proceso estándar
PROC00214,Manual,0,Proceso estándar
PROC00215,Manual,0,Proceso estándar
PROC00216,Manual,0,Proceso estándar
PROC00217,Manual,0,Proceso estándar
PROC00218,Manual,0,Proceso estándar
PROC00219,Manual,0,Proceso estándar
PROC00220,Manual,0,Proceso estándar
PROC00221,Manual,0,Proceso estándar
PROC00222,Manual,0,Proceso estándar
PROC00223,Manual,0,Proceso estándar
PROC00224,Manual,0,Proceso estándar
PROC00225,Manual,0,Proceso estándar
PROC00226,Manual,0,Proceso estándar
PROC00227,Revisión,2,Múltiples errores (4)
PROC00228,Manual,0,Proceso estándar
PROC00229,Manual,0,Proceso estándar
PROC00230,Manual,0,Proceso estándar
PROC00231,Manual,0,Proceso estándar
PROC00232,Manual,0,Proceso estándar
PROC00233,Manual,0,Proceso estándar
PROC00234,Manual,0,Proceso estándar
PROC00235,Manual,0,Proceso estándar
PROC00236,Manual,0,Proceso estándar
PROC00237,Manual,1,Prioridad Urgente
PROC00238,Manual,0,Proceso estándar
PROC00239,Manual,0,Proceso estándar
PROC00240,Manual,0,Proceso estándar
PROC00241,Manual,0,Proceso estándar
PROC00242,Manual,0,Proceso estándar
PROC00243,Manual,0,Proceso estándar
PROC00244,Manual,0,Proceso estándar
PROC00245,Manual,0,Proceso estándar
PROC00246,Revisión,2,Múltiples errores (2)
PROC00247,Revisión,2,Múltiples errores (2)
PROC00248,Manual,0,Proceso estándar
PROC00249,Manual,0,Proceso estándar
PROC00250,Manual,0,Proceso estándar
PROC00251,Manual,0,Proceso estándar
PROC00252,Manual,0,Proceso estándar
PROC00253,Manual,0,Proceso estándar
PROC00254,Manual,0,Proceso estándar
PROC00255,Manual,0,Proceso estándar
PROC00256,Revisión,2,Múltiples errores (2)
PROC00257,Manual,0,Proceso estándar
PROC00258,Manual,0,Proceso estándar
PROC00259,Manual,0,Proceso estándar
PROC00260,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00261,Manual,0,Proceso estándar
PROC00262,Manual,0,Proceso estándar
PROC00263,Manual,0,Proceso estándar
PROC00264,Manual,0,Proceso estándar
PROC00265,Manual,0,Proceso estándar
PROC00266,Manual,0,Proceso estándar
PROC00267,Manual,0,Proceso estándar
PROC00268,Manual,0,Proceso estándar
PROC00269,Manual,1,Prioridad Urgente
PROC00270,Manual,0,Proceso estándar
PROC00271,Revisión,2,Múltiples errores (2)
PROC00272,Manual,0,Proceso estándar
PROC00273,Manual,0,Proceso estándar
PROC00274,Manual,0,Proceso estándar
PROC00275,Manual,0,Proceso estándar
PROC00276,Manual,0,Proceso estándar
PROC00277,Manual,1,Prioridad Urgente
PROC00278,Manual,0,Proceso estándar
PROC00279,Manual,0,Proceso estándar
PROC00280,Manual,0,Proceso estándar
PROC00281,Revisión,2,Múltiples errores (2)
PROC00282,Manual,0,Proceso estándar
PROC00283,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00284,Manual,0,Proceso estándar
PROC00285,Manual,0,Proceso estándar
PROC00286,Revisión,2,Múltiples errores (2)
PROC00287,Manual,0,Proceso estándar
PROC00288,Manual,0,Proceso estándar
PROC00289,Manual,0,Proceso estándar
PROC00290,Manual,0,Proceso estándar
PROC00291,Manual,0,Proceso estándar
PROC00292,Manual,0,Proceso estándar
PROC00293,Manual,0,Proceso estándar
PROC00294,Manual,0,Proceso estándar
PROC00295,Manual,1,Prioridad Urgente
PROC00296,Manual,0,Proceso estándar
PROC00297,Manual,0,Proceso estándar
PROC00298,Revisión,2,Múltiples errores (2)
PROC00299,Manual,0,Proceso estándar
PROC00300,Manual,0,Proceso estándar
PROC00301,Manual,0,Proceso estándar
PROC00302,Manual,0,Proceso estándar
PROC00303,Manual,0,Proceso estándar
PROC00304,Manual,0,Proceso estándar
PROC00305,Manual,0,Proceso estándar
PROC00306,Revisión,2,Múltiples errores (3)
PROC00307,Manual,0,Proceso estándar
PROC00308,Manual,0,Proceso estándar
PROC00309,Manual,0,Proceso estándar
PROC00310,Manual,0,Proceso estándar
PROC00311,Manual,0,Proceso estándar
PROC00312,Revisión,2,Múltiples errores (2)
PROC00313,Manual,0,Proceso estándar
PROC00314,Manual,0,Proceso estándar
PROC00315,Manual,0,Proceso estándar
PROC00316,Manual,0,Proceso estándar
PROC00317,Manual,0,Proceso estándar
PROC00318,Manual,1,Prioridad Urgente
PROC00319,Revisión,2,Múltiples errores (2)
PROC00320,Manual,0,Proceso estándar
PROC00321,Manual,0,Proceso estándar
PROC00322,Manual,0,Proceso estándar
PROC00323,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00324,Manual,0,Proceso estándar
PROC00325,Manual,0,Proceso estándar
PROC00326,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00327,Manual,0,Proceso estándar
PROC00328,Manual,0,Proceso estándar
PROC00329,Manual,0,Proceso estándar
PROC00330,Manual,0,Proceso estándar
PROC00331,Manual,0,Proceso estándar
PROC00332,Manual,0,Proceso estándar
PROC00333,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00334,Manual,0,Proceso estándar
PROC00335,Manual,0,Proceso estándar
PROC00336,Manual,0,Proceso estándar
PROC00337,Revisión,2,Múltiples errores (2)
PROC00338,Manual,0,Proceso estándar
PROC00339,Manual,1,Prioridad Urgente
PROC00340,Manual,0,Proceso estándar
PROC00341,Manual,0,Proceso estándar
PROC00342,Manual,0,Proceso estándar
PROC00343,Manual,0,Proceso estándar
PROC00344,Manual,0,Proceso estándar
PROC00345,Manual,0,Proceso estándar
PROC00346,Manual,0,Proceso estándar
PROC00347,Manual,0,Proceso estándar
PROC00348,Revisión,2,Múltiples errores (2)
PROC00349,Manual,0,Proceso estándar
PROC00350,Manual,0,Proceso estándar
PROC00351,Manual,0,Proceso estándar
PROC00352,Manual,0,Proceso estándar
PROC00353,Manual,0,Proceso estándar
PROC00354,Revisión,3,Múltiples errores (2)
PROC00355,Manual,0,Proceso estándar
PROC00356,Manual,0,Proceso estándar
PROC00357,Manual,1,Prioridad Urgente
PROC00358,Revisión,2,Múltiples errores (2)
PROC00359,Manual,0,Proceso estándar
PROC00360,Manual,0,Proceso estándar
PROC00361,Manual,0,Proceso estándar
PROC00362,Manual,0,Proceso estándar
PROC00363,Manual,0,Proceso estándar
PROC00364,Manual,0,Proceso estándar
PROC00365,Manual,0,Proceso estándar
PROC00366,Manual,0,Proceso estándar
PROC00367,Manual,0,Proceso estándar
PROC00368,Manual,0,Proceso estándar
PROC00369,Manual,0,Proceso estándar
PROC00370,Manual,0,Proceso estándar
PROC00371,Manual,0,Proceso estándar
PROC00372,Manual,0,Proceso estándar
PROC00373,Manual,0,Proceso estándar
PROC00374,Manual,0,Proceso estándar
PROC00375,Manual,0,Proceso estándar
PROC00376,Manual,0,Proceso estándar
PROC00377,Manual,0,Proceso estándar
PROC00378,Manual,0,Proceso estándar
PROC00379,Manual,0,Proceso estándar
PROC00380,Manual,0,Proceso estándar
PROC00381,Manual,0,Proceso estándar
PROC00382,Manual,0,Proceso estándar
PROC00383,Manual,0,Proceso estándar
PROC00384,Manual,0,Proceso estándar
PROC00385,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00386,Manual,0,Proceso estándar
PROC00387,Manual,0,Proceso estándar
PROC00388,Manual,0,Proceso estándar
PROC00389,Manual,0,Proceso estándar
PROC00390,Manual,0,Proceso estándar
PROC00391,Manual,0,Proceso estándar
PROC00392,Manual,0,Proceso estándar
PROC00393,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00394,Manual,0,Proceso estándar
PROC00395,Manual,0,Proceso estándar
PROC00396,Manual,0,Proceso estándar
PROC00397,Manual,0,Proceso estándar
PROC00398,Manual,0,Proceso estándar
PROC00399,Manual,0,Proceso estándar
PROC00400,Manual,0,Proceso estándar
PROC00401,Manual,0,Proceso estándar
PROC00402,Manual,0,Proceso estándar
PROC00403,Manual,0,Proceso estándar
PROC00404,Manual,0,Proceso estándar
PROC00405,Manual,0,Proceso estándar
PROC00406,Manual,0,Proceso estándar
PROC00407,Manual,0,Proceso estándar
PROC00408,Manual,0,Proceso estándar
PROC00409,Manual,0,Proceso estándar
PROC00410,Manual,0,Proceso estándar
PROC00411,Manual,0,Proceso estándar
PROC00412,Revisión,3,Múltiples errores (2)
PROC00413,Revisión,2,Múltiples errores (3)
PROC00414,Manual,0,Proceso estándar
PROC00415,Manual,0,Proceso estándar
PROC00416,Manual,0,Proceso estándar
PROC00417,Manual,0,Proceso estándar
PROC00418,Manual,0,Proceso estándar
PROC00419,Manual,0,Proceso estándar
PROC00420,Revisión,2,Múltiples errores (3)
PROC00421,Manual,0,Proceso estándar
PROC00422,Manual,0,Proceso estándar
PROC00423,Manual,0,Proceso estándar
PROC00424,Manual,0,Proceso estándar
PROC00425,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00426,Manual,0,Proceso estándar
PROC00427,Manual,0,Proceso estándar
PROC00428,Manual,0,Proceso estándar
PROC00429,Manual,0,Proceso estándar
PROC00430,Manual,0,Proceso estándar
PROC00431,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00432,Manual,0,Proceso estándar
PROC00433,Revisión,2,Múltiples errores (2)
PROC00434,Manual,0,Proceso estándar
PROC00435,Revisión,3,Múltiples errores (2)
PROC00436,Manual,0,Proceso estándar
PROC00437,Manual,0,Proceso estándar
PROC00438,Manual,0,Proceso estándar
PROC00439,Manual,0,Proceso estándar
PROC00440,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00441,Manual,0,Proceso estándar
PROC00442,Manual,0,Proceso estándar
PROC00443,Manual,0,Proceso estándar
PROC00444,Manual,0,Proceso estándar
PROC00445,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00446,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00447,Manual,0,Proceso estándar
PROC00448,Manual,1,Prioridad Urgente
PROC00449,Manual,0,Proceso estándar
PROC00450,Manual,0,Proceso estándar
PROC00451,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00452,Manual,0,Proceso estándar
PROC00453,Manual,0,Proceso estándar
PROC00454,Manual,0,Proceso estándar
PROC00455,Manual,0,Proceso estándar
PROC00456,Manual,0,Proceso estándar
PROC00457,Manual,0,Proceso estándar
PROC00458,Manual,0,Proceso estándar
PROC00459,Manual,0,Proceso estándar
PROC00460,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00461,Manual,0,Proceso estándar
PROC00462,Revisión,2,Múltiples errores (2)
PROC00463,Revisión,2,Múltiples errores (2)
PROC00464,Manual,0,Proceso estándar
PROC00465,Manual,0,Proceso estándar
PROC00466,Manual,0,Proceso estándar
PROC00467,Manual,0,Proceso estándar
PROC00468,Manual,0,Proceso estándar
PROC00469,Revisión,2,Múltiples errores (3)
PROC00470,Manual,0,Proceso estándar
PROC00471,Manual,0,Proceso estándar
PROC00472,Manual,0,Proceso estándar
PROC00473,Manual,0,Proceso estándar
PROC00474,Manual,0,Proceso estándar
PROC00475,Manual,0,Proceso estándar
PROC00476,Manual,0,Proceso estándar
PROC00477,Manual,0,Proceso estándar
PROC00478,Manual,0,Proceso estándar
PROC00479,Revisión,2,Múltiples errores (2)
PROC00480,Manual,0,Proceso estándar
PROC00481,Revisión,2,Múltiples errores (2)
PROC00482,Revisión,2,Múltiples errores (2)
PROC00483,Manual,0,Proceso estándar
PROC00484,Revisión,2,Múltiples errores (2)
PROC00485,Manual,0,Proceso estándar
PROC00486,Manual,0,Proceso estándar
PROC00487,Manual,0,Proceso estándar
PROC00488,Manual,0,Proceso estándar
PROC00489,Manual,0,Proceso estándar
PROC00490,Manual,0,Proceso estándar
PROC00491,Manual,0,Proceso estándar
PROC00492,Manual,0,Proceso estándar
PROC00493,Revisión,2,Múltiples errores (2)
PROC00494,Manual,0,Proceso estándar
PROC00495,Manual,0,Proceso estándar
PROC00496,Manual,0,Proceso estándar
PROC00497,Manual,0,Proceso estándar
PROC00498,Manual,0,Proceso estándar
PROC00499,Manual,0,Proceso estándar
PROC00500,Manual,0,Proceso estándar
PROC00501,Manual,1,Prioridad Urgente
PROC00502,Manual,0,Proceso estándar
PROC00503,Manual,1,Prioridad Urgente
PROC00504,Manual,0,Proceso estándar
PROC00505,Manual,0,Proceso estándar
PROC00506,Manual,0,Proceso estándar
PROC00507,Manual,0,Proceso estándar
PROC00508,Manual,0,Proceso estándar
PROC00509,Manual,0,Proceso estándar
PROC00510,Manual,0,Proceso estándar
PROC00511,Manual,0,Proceso estándar
PROC00512,Manual,0,Proceso estándar
PROC00513,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00514,Manual,0,Proceso estándar
PROC00515,Manual,0,Proceso estándar
PROC00516,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00517,Manual,0,Proceso estándar
PROC00518,Manual,0,Proceso estándar
PROC00519,Manual,0,Proceso estándar
PROC00520,Manual,0,Proceso estándar
PROC00521,Manual,0,Proceso estándar
PROC00522,Manual,0,Proceso estándar
PROC00523,Manual,0,Proceso estándar
PROC00524,Manual,0,Proceso estándar
PROC00525,Manual,0,Proceso estándar
PROC00526,Revisión,2,Múltiples errores (2)
PROC00527,Manual,0,Proceso estándar
PROC00528,Manual,0,Proceso estándar
PROC00529,Manual,0,Proceso estándar
PROC00530,Manual,0,Proceso estándar
PROC00531,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00532,Manual,0,Proceso estándar
PROC00533,Manual,0,Proceso estándar
PROC00534,Manual,0,Proceso estándar
PROC00535,Revisión,2,Múltiples errores (2)
PROC00536,Manual,0,Proceso estándar
PROC00537,Manual,0,Proceso estándar
PROC00538,Manual,0,Proceso estándar
PROC00539,Manual,0,Proceso estándar
PROC00540,Manual,0,Proceso estándar
PROC00541,Manual,0,Proceso estándar
PROC00542,Manual,0,Proceso estándar
PROC00543,Manual,0,Proceso estándar
PROC00544,Revisión,2,Múltiples errores (2)
PROC00545,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00546,Manual,0,Proceso estándar
PROC00547,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00548,Manual,0,Proceso estándar
PROC00549,Manual,0,Proceso estándar
PROC00550,Manual,0,Proceso estándar
PROC00551,Manual,0,Proceso estándar
PROC00552,Manual,0,Proceso estándar
PROC00553,Manual,0,Proceso estándar
PROC00554,Manual,0,Proceso estándar
PROC00555,Manual,0,Proceso estándar
PROC00556,Manual,0,Proceso estándar
PROC00557,Manual,0,Proceso estándar
PROC00558,Manual,0,Proceso estándar
PROC00559,Manual,0,Proceso estándar
PROC00560,Manual,0,Proceso estándar
PROC00561,Revisión,2,Múltiples errores (2)
PROC00562,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00563,Manual,0,Proceso estándar
PROC00564,Manual,0,Proceso estándar
PROC00565,Manual,0,Proceso estándar
PROC00566,Manual,0,Proceso estándar
PROC00567,Manual,0,Proceso estándar
PROC00568,Manual,0,Proceso estándar
PROC00569,Manual,0,Proceso estándar
PROC00570,Manual,0,Proceso estándar
PROC00571,Manual,0,Proceso estándar
PROC00572,Manual,0,Proceso estándar
PROC00573,Manual,0,Proceso estándar
PROC00574,Manual,0,Proceso estándar
PROC00575,Manual,0,Proceso estándar
PROC00576,Manual,0,Proceso estándar
PROC00577,Manual,0,Proceso estándar
PROC00578,Manual,0,Proceso estándar
PROC00579,Manual,0,Proceso estándar
PROC00580,Manual,0,Proceso estándar
PROC00581,Revisión,2,Múltiples errores (2)
PROC00582,Manual,1,Prioridad Urgente
PROC00583,Manual,0,Proceso estándar
PROC00584,Manual,0,Proceso estándar
PROC00585,Manual,0,Proceso estándar
PROC00586,Manual,0,Proceso estándar
PROC00587,Revisión,2,Múltiples errores (2)
PROC00588,Manual,0,Proceso estándar
PROC00589,Manual,0,Proceso estándar
PROC00590,Revisión,2,Múltiples errores (2)
PROC00591,Manual,0,Proceso estándar
PROC00592,Manual,0,Proceso estándar
PROC00593,Manual,0,Proceso estándar
PROC00594,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00595,Manual,0,Proceso estándar
PROC00596,Manual,0,Proceso estándar
PROC00597,Manual,1,Prioridad Urgente
PROC00598,Manual,0,Proceso estándar
PROC00599,Manual,0,Proceso estándar
PROC00600,Manual,0,Proceso estándar
PROC00601,Revisión,3,Múltiples errores (2)
PROC00602,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00603,Revisión,2,Múltiples errores (2)
PROC00604,Manual,0,Proceso estándar
PROC00605,Manual,0,Proceso estándar
PROC00606,Manual,0,Proceso estándar
PROC00607,Manual,0,Proceso estándar
PROC00608,Manual,0,Proceso estándar
PROC00609,Manual,0,Proceso estándar
PROC00610,Manual,0,Proceso estándar
PROC00611,Revisión,2,Múltiples errores (2)
PROC00612,Manual,0,Proceso estándar
PROC00613,Manual,0,Proceso estándar
PROC00614,Revisión,2,Múltiples errores (2)
PROC00615,Revisión,2,Múltiples errores (2)
PROC00616,Manual,0,Proceso estándar
PROC00617,Manual,0,Proceso estándar
PROC00618,Manual,0,Proceso estándar
PROC00619,Manual,0,Proceso estándar
PROC00620,Manual,0,Proceso estándar
PROC00621,Manual,0,Proceso estándar
PROC00622,Revisión,2,Múltiples errores (3)
PROC00623,Manual,0,Proceso estándar
PROC00624,Manual,0,Proceso estándar
PROC00625,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00626,Manual,0,Proceso estándar
PROC00627,Manual,0,Proceso estándar
PROC00628,Manual,0,Proceso estándar
PROC00629,Manual,0,Proceso estándar
PROC00630,Manual,0,Proceso estándar
PROC00631,Manual,0,Proceso estándar
PROC00632,Manual,0,Proceso estándar
PROC00633,Manual,0,Proceso estándar
PROC00634,Manual,0,Proceso estándar
PROC00635,Manual,0,Proceso estándar
PROC00636,Manual,0,Proceso estándar
PROC00637,Manual,1,Prioridad Urgente
PROC00638,Manual,0,Proceso estándar
PROC00639,Manual,0,Proceso estándar
PROC00640,Manual,0,Proceso estándar
PROC00641,Manual,0,Proceso estándar
PROC00642,Manual,0,Proceso estándar
PROC00643,Manual,0,Proceso estándar
PROC00644,Revisión,2,Múltiples errores (4)
PROC00645,Manual,0,Proceso estándar
PROC00646,Manual,0,Proceso estándar
PROC00647,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
